Timestamp,body,@requestId,requestContext.requestId,ColdStartDurationInMS,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2023-04-11 04:51:24.921,dHBzPTMmaW50ZXJ2YWw9MQ==,,ba937d2e-5c0d-490a-944b-528ce9b2df26,,,,,
2023-04-11 04:51:24.925,,20c8790c-da69-47f6-ba14-951ff6623ac6,,,16.12,17.0,128,54
2023-04-11 04:51:24.925,,ba937d2e-5c0d-490a-944b-528ce9b2df26,,,3.89,4.0,128,53
2023-04-11 04:51:24.944,,72d6d852-1731-4b2e-81ea-0910497eb4d4,,,24.16,25.0,128,54
2023-04-11 04:51:26.105,dHBzPTMmaW50ZXJ2YWw9MQ==,,e7e5295a-92c0-40d9-a678-6e4ef0972394,,,,,
2023-04-11 04:51:26.107,dHBzPTMmaW50ZXJ2YWw9MQ==,,e68f8b7f-3f1f-400d-9a06-063d708f4151,,,,,
2023-04-11 04:51:26.109,dHBzPTMmaW50ZXJ2YWw9MQ==,,cd661a87-b5b9-46ef-98a5-9953c0e0c388,,,,,
2023-04-11 04:51:26.124,,e7e5295a-92c0-40d9-a678-6e4ef0972394,,,19.99,20.0,128,54
2023-04-11 04:51:26.125,,e68f8b7f-3f1f-400d-9a06-063d708f4151,,,18.16,19.0,128,54
2023-04-11 04:51:26.126,,cd661a87-b5b9-46ef-98a5-9953c0e0c388,,,17.49,18.0,128,53
2023-04-11 04:51:27.773,dHBzPTEwJmludGVydmFsPTU=,,3a082da0-980f-4bdc-bb17-2ed520fc5a3c,,,,,
2023-04-11 04:51:27.775,dHBzPTEwJmludGVydmFsPTU=,,935e3ea6-a932-4edc-bed7-c2559b2afb08,,,,,
2023-04-11 04:51:27.784,,3a082da0-980f-4bdc-bb17-2ed520fc5a3c,,,11.24,12.0,128,54
2023-04-11 04:51:27.784,dHBzPTEwJmludGVydmFsPTU=,,fd516419-4157-4a4b-88c5-8d9d2fa41bf1,,,,,
2023-04-11 04:51:27.785,,935e3ea6-a932-4edc-bed7-c2559b2afb08,,,10.35,11.0,128,54
2023-04-11 04:51:27.789,dHBzPTEwJmludGVydmFsPTU=,,807bdbe9-4e5a-4119-8a1e-c563be1f652e,,,,,
2023-04-11 04:51:27.790,dHBzPTEwJmludGVydmFsPTU=,,ae9bbcf8-b948-447e-8a7f-97ce87965876,,,,,
2023-04-11 04:51:27.804,,807bdbe9-4e5a-4119-8a1e-c563be1f652e,,,15.91,16.0,128,54
2023-04-11 04:51:27.805,,fd516419-4157-4a4b-88c5-8d9d2fa41bf1,,,29.29,30.0,128,54
2023-04-11 04:51:27.809,dHBzPTEwJmludGVydmFsPTU=,,3364ba1a-0971-461b-b839-2e5fa7536105,,,,,
2023-04-11 04:51:27.825,,ae9bbcf8-b948-447e-8a7f-97ce87965876,,,34.76,35.0,128,54
2023-04-11 04:51:27.844,,3364ba1a-0971-461b-b839-2e5fa7536105,,,35.13,36.0,128,54
2023-04-11 04:51:27.903,dHBzPTEwJmludGVydmFsPTU=,,1ad89165-f76f-47db-8e1d-a78b5293ed29,,,,,
2023-04-11 04:51:27.904,,1ad89165-f76f-47db-8e1d-a78b5293ed29,,,1.44,2.0,128,54
2023-04-11 04:51:27.904,dHBzPTEwJmludGVydmFsPTU=,,c8a356f4-8395-422e-9411-ca3e21ec8e8a,,,,,
2023-04-11 04:51:27.905,,c8a356f4-8395-422e-9411-ca3e21ec8e8a,,,1.73,2.0,128,54
2023-04-11 04:51:28.052,dHBzPTEwJmludGVydmFsPTU=,,5ce0b559-c9ee-44cc-964a-00ceaf41ac03,,,,,
2023-04-11 04:51:28.058,dHBzPTEwJmludGVydmFsPTU=,,774f3503-f1ab-4eb4-b8b9-f812ccac6125,,,,,
2023-04-11 04:51:28.059,,774f3503-f1ab-4eb4-b8b9-f812ccac6125,,,1.74,2.0,128,54
2023-04-11 04:51:28.066,,5ce0b559-c9ee-44cc-964a-00ceaf41ac03,,,14.2,15.0,128,54
2023-04-11 04:51:34.232,dHBzPTEwJmludGVydmFsPTU=,,80bacc36-1a00-4cd1-b83a-bb2a964959ac,,,,,
2023-04-11 04:51:34.233,dHBzPTEwJmludGVydmFsPTU=,,415b8462-6619-482a-a8c3-5c1409cad7c3,,,,,
2023-04-11 04:51:34.233,dHBzPTEwJmludGVydmFsPTU=,,99a78346-a1a8-48e8-bd89-8181feb18dfb,,,,,
2023-04-11 04:51:34.234,dHBzPTEwJmludGVydmFsPTU=,,0647d672-a6ea-48bb-a435-e7fce833f45c,,,,,
2023-04-11 04:51:34.234,dHBzPTEwJmludGVydmFsPTU=,,2097516f-2f64-4e93-a01b-9a97adbed5c0,,,,,
2023-04-11 04:51:34.245,,80bacc36-1a00-4cd1-b83a-bb2a964959ac,,,12.77,13.0,128,54
2023-04-11 04:51:34.245,,415b8462-6619-482a-a8c3-5c1409cad7c3,,,13.26,14.0,128,54
2023-04-11 04:51:34.265,,99a78346-a1a8-48e8-bd89-8181feb18dfb,,,32.1,33.0,128,54
2023-04-11 04:51:34.298,,2097516f-2f64-4e93-a01b-9a97adbed5c0,,270.28,64.14,65.0,128,52
2023-04-11 04:51:34.307,,0647d672-a6ea-48bb-a435-e7fce833f45c,,200.63,73.47,74.0,128,52
2023-04-11 04:51:34.346,dHBzPTEwJmludGVydmFsPTU=,,eccbddec-845d-485b-a899-1c7fb3c811ff,,,,,
2023-04-11 04:51:34.347,,eccbddec-845d-485b-a899-1c7fb3c811ff,,,2.02,3.0,128,52
2023-04-11 04:51:34.355,dHBzPTEwJmludGVydmFsPTU=,,a006ba20-5054-403a-9e7f-87af26dc6418,,,,,
2023-04-11 04:51:34.356,dHBzPTEwJmludGVydmFsPTU=,,ebe58e1c-6c35-4ee6-bb43-a86cd046f0de,,,,,
2023-04-11 04:51:34.357,dHBzPTEwJmludGVydmFsPTU=,,a290ef74-b30b-46b5-8f42-81ad80d91b67,,,,,
